ID,age,gender,race,zip,StartDate,duration,pass_check,response,querytype,weather_cond,location_cond,condition
0,53,Man,White,72088,2021-05-10T13:52:06Z,617,1,0.7,A,coldrainy,london,coldrainy_london
1,27,Woman,White,28390,2021-05-10T13:59:41Z,1075,1,0.2,A,coldrainy,london,coldrainy_london
2,28,Man,White,10956,2021-05-10T14:12:27Z,543,1,0.5,A,coldrainy,london,coldrainy_london
3,32,Man,White,56187,2021-05-10T14:15:45Z,805,1,0.5,A,coldrainy,london,coldrainy_london
4,31,Man,White,66021,2021-05-10T14:22:09Z,491,1,0.7,A,coldrainy,london,coldrainy_london
5,25,Woman,White,20602,2021-05-10T14:01:21Z,3221,1,0.5,A,coldrainy,london,coldrainy_london
6,61,Woman,White,33603,2021-05-10T14:22:40Z,1994,1,0.6,A,coldrainy,london,coldrainy_london
7,28,Man,Asian,20850,2021-05-10T14:44:53Z,1146,1,0.5,A,coldrainy,london,coldrainy_london
8,33,Woman,White,25801,2021-05-10T15:04:07Z,832,1,0.8,A,coldrainy,london,coldrainy_london
9,53,Man,White,78414,2021-05-10T15:00:19Z,1093,1,0.7,A,coldrainy,london,coldrainy_london
10,39,Man,White,91708,2021-05-10T15:15:29Z,813,1,0.7,A,coldrainy,london,coldrainy_london
11,54,Man,White,94598,2021-05-10T14:55:23Z,3188,1,0.5,A,coldrainy,london,coldrainy_london
12,33,Woman,White,45056,2021-05-10T15:33:55Z,951,1,0.4,A,coldrainy,london,coldrainy_london
13,49,Woman,Asian,53220,2021-05-10T15:37:49Z,1466,1,0.7,A,coldrainy,london,coldrainy_london
14,32,Man,Asian,23435,2021-05-10T16:45:27Z,614,1,0.6,A,coldrainy,london,coldrainy_london
15,33,Man,Black or African American,94804,2021-05-10T17:03:13Z,1306,1,0.9,A,coldrainy,london,coldrainy_london
16,50,Man,White,32114,2021-05-10T17:07:49Z,1654,1,0.5,A,coldrainy,london,coldrainy_london
17,31,Man,White,80022,2021-05-10T17:18:23Z,4402,1,0.6,A,coldrainy,london,coldrainy_london
18,25,Man,Asian,70129,2021-05-10T19:20:11Z,2794,1,0.6,A,coldrainy,london,coldrainy_london
19,50,Woman,White,32738,2021-05-11T09:49:53Z,380,1,0.3,A,coldrainy,london,coldrainy_london
20,33,Woman,Black or African American,NA,2021-05-11T09:52:47Z,231,1,0.6,A,coldrainy,london,coldrainy_london
21,27,Man,White,28806,2021-05-11T09:48:22Z,554,1,0.5,A,coldrainy,london,coldrainy_london
22,63,Woman,White,98597,2021-05-11T09:48:09Z,636,1,0.9,A,coldrainy,london,coldrainy_london
23,70,Man,White,32082,2021-05-11T09:49:21Z,689,1,0.4,A,coldrainy,london,coldrainy_london
24,62,Woman,White,80439,2021-05-11T09:49:38Z,678,1,0.7,A,coldrainy,london,coldrainy_london
25,35,Woman,White,85374,2021-05-11T09:53:53Z,485,1,0.4,A,coldrainy,london,coldrainy_london
26,38,Man,White,75180,2021-05-11T09:55:30Z,412,1,0.6,A,coldrainy,london,coldrainy_london
27,38,Woman,White,67460,2021-05-11T09:49:07Z,807,1,0.5,A,coldrainy,london,coldrainy_london
28,28,Man,White,42066,2021-05-11T09:48:10Z,903,1,0.4,A,coldrainy,london,coldrainy_london
29,66,Woman,White,95966,2021-05-11T09:54:24Z,548,1,0.4,A,coldrainy,london,coldrainy_london
30,44,Non-binary,White,87108,2021-05-11T09:48:30Z,909,1,0.5,A,coldrainy,london,coldrainy_london
31,65,Woman,White,33710,2021-05-11T09:51:27Z,832,1,0.8,A,coldrainy,london,coldrainy_london
32,69,Woman,White,34669,2021-05-11T09:55:36Z,676,1,0.8,A,coldrainy,london,coldrainy_london
33,52,Man,White,31410,2021-05-11T09:48:11Z,1400,1,0.5,A,coldrainy,london,coldrainy_london
34,39,Man,White,11757,2021-05-11T09:56:21Z,1246,1,0.5,A,coldrainy,london,coldrainy_london
35,29,Woman,White,02155,2021-05-11T10:01:12Z,1137,1,0.3,A,coldrainy,london,coldrainy_london
36,27,Man,White,81147,2021-05-11T10:07:24Z,962,1,0.7,A,coldrainy,london,coldrainy_london
37,38,Man,White,41311,2021-05-11T10:08:31Z,984,1,0.6,A,coldrainy,london,coldrainy_london
38,46,Man,White,28201,2021-05-11T10:13:24Z,771,1,0.7,A,coldrainy,london,coldrainy_london
39,30,Man,Other,33125,2021-05-11T10:21:42Z,531,1,0.7,A,coldrainy,london,coldrainy_london
40,34,Woman,White,35758,2021-05-11T10:17:03Z,904,1,0.5,A,coldrainy,london,coldrainy_london
41,43,Man,White,97322,2021-05-11T10:19:00Z,830,1,0.6,A,coldrainy,london,coldrainy_london
42,30,Woman,Black or African American,NA,2021-05-11T10:06:48Z,1585,1,0.8,A,coldrainy,london,coldrainy_london
43,30,Man,Black or African American,06511,2021-05-11T10:22:57Z,700,1,0.4,A,coldrainy,london,coldrainy_london
44,28,Woman,White,77013,2021-05-11T10:30:36Z,324,1,0.3,A,coldrainy,london,coldrainy_london
